code,city_id,state,lat,lon
10456,Bronx, NY,40.84,-73.87
10456,Morrisania, NY,40.84,-73.87
10457,Bronx, NY,40.84,-73.87
10458,Bronx, NY,40.84,-73.87
10459,Bronx, NY,40.84,-73.87
10459,Boulevard, NY,40.84,-73.87
10459,Longwood, NY,40.84,-73.87
10460,Bronx, NY,40.84,-73.87
10460,Crotona Park, NY,40.84,-73.87
10460,West Farms, NY,40.84,-73.87
10461,Bronx, NY,40.84,-73.87
10461,Morris Park, NY,40.84,-73.87
10461,Pilgrim, NY,40.84,-73.87
10461,Westchester, NY,40.84,-73.87
10462,Bronx, NY,40.84,-73.87
10463,Bronx, NY,40.84,-73.87
10463,Riverdale, NY,40.84,-73.87
10463,Spuyten Duyvil, NY,40.84,-73.87
10464,Bronx, NY,40.84,-73.87
10465,Bronx, NY,40.84,-73.87
10465,Throggs Neck, NY,40.84,-73.87
10466,Bronx, NY,40.84,-73.87
10466,Wakefield, NY,40.84,-73.87
10467,Bronx, NY,40.84,-73.87
10467,Allerton, NY,40.84,-73.87
10467,Mosholu, NY,40.84,-73.87
10467,Van Cott, NY,40.84,-73.87
10467,Williamsbridge, NY,40.84,-73.87
10468,Bronx, NY,40.84,-73.87
10468,Jerome, NY,40.84,-73.87
10469,Bronx, NY,40.84,-73.87
10469,Baychester, NY,40.84,-73.87
10469,Esplanade, NY,40.84,-73.87
10469,Hillside, NY,40.84,-73.87
10470,Bronx, NY,40.84,-73.87
10471,Bronx, NY,40.84,-73.87
10471,Riverdale, NY,40.84,-73.87
10472,Bronx, NY,40.84,-73.87
10473,Bronx, NY,40.84,-73.87
10474,Bronx, NY,40.84,-73.87
10474,Boulevard, NY,40.84,-73.87
10475,Bronx, NY,40.84,-73.87
10499,Bronx, NY,40.84,-73.87
10499,Priority Mail Ctr, NY,40.84,-73.87
10001,New York, NY,40.71,-73.99
10001,Empire State, NY,40.71,-73.99
10001,G P O, NY,40.71,-73.99
10001,Greeley Square, NY,40.71,-73.99
10001,Macys Finance, NY,40.71,-73.99
10001,Manhattan, NY,40.71,-73.99
10002,New York, NY,40.71,-73.99
10002,Knickerbocker, NY,40.71,-73.99
10002,Manhattan, NY,40.71,-73.99
10002,New York City, NY,40.71,-73.99
10002,Ny, NY,40.71,-73.99
10002,Ny City, NY,40.71,-73.99
10002,Nyc, NY,40.71,-73.99
10003,New York, NY,40.71,-73.99
10003,Cooper, NY,40.71,-73.99
10003,Manhattan, NY,40.71,-73.99
10004,New York, NY,40.71,-73.99
10004,Bowling Green, NY,40.71,-73.99
10005,New York, NY,40.71,-73.99
10005,Wall Street, NY,40.71,-73.99
10005,Manhattan, NY,40.71,-73.99
10005,Nyc, NY,40.71,-73.99
10006,New York, NY,40.71,-73.99
10006,Trinity, NY,40.71,-73.99
10006,Manhattan, NY,40.71,-73.99
10006,Nyc, NY,40.71,-73.99
10007,New York, NY,40.71,-73.99
