code,type,city_id,state,lat,lon
704,STANDARD,Est De Trinitaria, PR,17.96,-66.22
704,STANDARD,Ext El Coqui, PR,17.96,-66.22
704,STANDARD,Parc Cabasa, PR,17.96,-66.22
7093,STANDARD,Monitor, NJ,40.78,-74.00
7093,STANDARD,Taurus, NJ,40.78,-74.00
7675,STANDARD,Westwood, NJ,40.98,-74.03
7675,STANDARD,Old Tappan, NJ,40.98,-74.03
7675,STANDARD,River Vale, NJ,40.98,-74.03
7675,STANDARD,Rivervale, NJ,40.98,-74.03
7677,STANDARD,Woodcliff Lake, NJ,41.02,-74.05
7677,STANDARD,Westwood, NJ,41.02,-74.05
7677,STANDARD,Woodcliff Lk, NJ,41.02,-74.05
7885,STANDARD,Wharton, NJ,40.89,-74.58
7981,STANDARD,Whippany, NJ,40.82,-74.41
7999,STANDARD,Whippany, NJ,40.82,-74.41
8888,PO BOX,Whitehouse, NJ,40.62,-74.76
8889,STANDARD,Whitehouse Station, NJ,40.60,-74.76
8889,STANDARD,White Hse Sta, NJ,40.60,-74.76
8889,STANDARD,White House Station, NJ,40.60,-74.76
7095,STANDARD,Woodbridge, NJ,40.55,-74.28
7481,STANDARD,Wyckoff, NJ,40.99,-74.16
10451,STANDARD,Bronx, NY,40.84,-73.87
10452,STANDARD,Bronx, NY,40.84,-73.87
10452,STANDARD,Highbridge, NY,40.84,-73.87
10452,STANDARD,Stadium, NY,40.84,-73.87
10452,STANDARD,University Heights, NY,40.84,-73.87
10453,STANDARD,Bronx, NY,40.84,-73.87
10454,STANDARD,Bronx, NY,40.84,-73.87
10454,STANDARD,Mott Haven, NY,40.84,-73.87
10455,STANDARD,Bronx, NY,40.84,-73.87
10455,STANDARD,Hub, NY,40.84,-73.87
10456,STANDARD,Bronx, NY,40.84,-73.87
10456,STANDARD,Morrisania, NY,40.84,-73.87
10457,STANDARD,Bronx, NY,40.84,-73.87
10458,STANDARD,Bronx, NY,40.84,-73.87
10459,STANDARD,Bronx, NY,40.84,-73.87
10459,STANDARD,Boulevard, NY,40.84,-73.87
10459,STANDARD,Longwood, NY,40.84,-73.87
10460,STANDARD,Bronx, NY,40.84,-73.87
10460,STANDARD,Crotona Park, NY,40.84,-73.87
10460,STANDARD,West Farms, NY,40.84,-73.87
10461,STANDARD,Bronx, NY,40.84,-73.87
10461,STANDARD,Morris Park, NY,40.84,-73.87
10461,STANDARD,Pilgrim, NY,40.84,-73.87
10461,STANDARD,Westchester, NY,40.84,-73.87
10462,STANDARD,Bronx, NY,40.84,-73.87
10463,STANDARD,Bronx, NY,40.84,-73.87
10463,STANDARD,Riverdale, NY,40.84,-73.87
10463,STANDARD,Spuyten Duyvil, NY,40.84,-73.87
10464,STANDARD,Bronx, NY,40.84,-73.87
10465,STANDARD,Bronx, NY,40.84,-73.87
10465,STANDARD,Throggs Neck, NY,40.84,-73.87
10466,STANDARD,Bronx, NY,40.84,-73.87
10466,STANDARD,Wakefield, NY,40.84,-73.87
10467,STANDARD,Bronx, NY,40.84,-73.87
10467,STANDARD,Allerton, NY,40.84,-73.87
10467,STANDARD,Mosholu, NY,40.84,-73.87
10467,STANDARD,Van Cott, NY,40.84,-73.87
10467,STANDARD,Williamsbridge, NY,40.84,-73.87
10468,STANDARD,Bronx, NY,40.84,-73.87
10468,STANDARD,Jerome, NY,40.84,-73.87
10469,STANDARD,Bronx, NY,40.84,-73.87
10469,STANDARD,Baychester, NY,40.84,-73.87
10469,STANDARD,Esplanade, NY,40.84,-73.87
10469,STANDARD,Hillside, NY,40.84,-73.87
10470,STANDARD,Bronx, NY,40.84,-73.87
10471,STANDARD,Bronx, NY,40.84,-73.87
10471,STANDARD,Riverdale, NY,40.84,-73.87
10472,STANDARD,Bronx, NY,40.84,-73.87
10473,STANDARD,Bronx, NY,40.84,-73.87
10474,STANDARD,Bronx, NY,40.84,-73.87
10474,STANDARD,Boulevard, NY,40.84,-73.87
10475,STANDARD,Bronx, NY,40.84,-73.87
10499,UNIQUE,Bronx, NY,40.84,-73.87
